Mark,Competitor,DOB,Nat,Pos,Venue,Date,WIND
20.38,David DUNLAP,06 AUG 2000,USA,3f3,"Hilmer Lodge Stadium, Walnut, CA (USA)",15 APR 2023,1.8
20.38,Towa UZAWA,25 NOV 2002,JPN,1h1,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",03 MAY 2023,1.1
20.39,Michael FRAY,23 SEP 1947,JAM,1qf4,"Estadio Olímpico, Ciudad de México (MEX)",15 OCT 1968,0.0
20.39,Marshall DILL,09 AUG 1952,USA,2,Cali (COL),03 AUG 1971,1.0
20.39,Edwin ROBERTS,12 AUG 1941,TTO,3,Cali (COL),03 AUG 1971,1.0
20.39,James GILKES,21 SEP 1952,GUY,2,"Eugene, OR (USA)",21 JUN 1975,2.0
20.39,Steve RIDDICK,18 SEP 1951,USA,3,Stuttgart (GER),26 AUG 1975,-0.1
20.39,Harvey GLANCE,28 MAR 1957,USA,2,"Auburn, AL (USA)",07 APR 1979,
20.39,Don COLEMAN,24 OCT 1951,USA,2,"Walnut, CA (USA)",17 JUN 1979,1.8
20.39,James SANFORD,27 DEC 1957,USA,2f2,Zürich (SUI),15 AUG 1979,-1.9
20.39,Cliff WILEY,21 MAY 1955,USA,1h2,Zürich (SUI),15 AUG 1979,0.2
20.39,Bernhard HOFF,10 JAN 1959,GDR,1,Cottbus (GER),18 JUL 1980,0.9
20.39,Eric BROWN,12 JAN 1960,USA,1,"Westwood, CA (USA)",02 MAY 1981,1.3
20.39,Calvin SMITH,08 JAN 1961,USA,1,"Tuscaloosa, AL (USA)",01 MAY 1982,-2.0
20.39,Eric BROWN,12 JAN 1960,USA,1h3,"Provo, UT (USA)",02 JUN 1982,1.8
20.39,Ronnie TAYLOR,07 APR 1959,USA,1h4,"Provo, UT (USA)",02 JUN 1982,1.6
20.39,Elliott QUOW,03 MAR 1962,USA,1f2,"Provo, UT (USA)",04 JUN 1982,2.0
20.39,Terron WRIGHT,28 JUN 1958,USA,2,Karl Marx Stadt (GDR),10 JUL 1982,1.7
20.39,Don QUARRIE,25 FEB 1951,JAM,1,Lausanne (SUI),14 JUL 1982,0.8
20.39,Clinton DAVIS,17 AUG 1965,USA,1,Barquisimeto (VEN),01 AUG 1982,-1.5
20.39,Desai WILLIAMS,12 JUN 1959,CAN,1,Les Abymes (FRA),15 MAY 1983,0.7
20.39,Desai WILLIAMS,12 JUN 1959,CAN,1,Pointe-á-Pitre (FRA),15 MAY 1983,0.7
20.39,Peter NGOBENI,23 MAY 1962,RSA,1,Windhoek (NAM),26 JAN 1985,
20.39,Lorenzo DANIEL,23 MAR 1966,USA,2h3,"Eugene, OR (USA)",19 JUN 1986,1.2
20.39,Stanley KERR,19 JUN 1967,USA,1,"Towson, MD (USA)",29 JUN 1986,0.9
20.39,Lorenzo DANIEL,23 MAR 1966,USA,1,"Hot Springs Village, AR (USA)",11 APR 1987,
20.39,Floyd HEARD,24 MAR 1966,USA,1,"Des Moines, IA (USA)",25 APR 1987,-3.0
20.39,Danny PEEBLES,30 MAY 1966,USA,1,"Raleigh, NC (USA)",09 MAY 1987,0.1
20.39,Henry THOMAS,10 JUL 1967,USA,1h3,San José (USA),25 JUN 1987,0.6
20.39,Dwayne EVANS,13 OCT 1958,USA,2,Roma (ITA),22 JUL 1987,0.0
20.39,Joe DELOACH,05 JUN 1967,USA,2,Villeneuve d'Ascq (FRA),27 JUN 1988,1.7
20.39,Henry THOMAS,10 JUL 1967,USA,1,Hengelo (NED),14 AUG 1988,0.2
20.39,Atlee MAHORN,27 OCT 1965,CAN,5,"Olympic Stadium, Jamsil, Seoul (KOR)",28 SEP 1988,1.7
20.39,Kevin LITTLE,03 APR 1968,USA,1h2,"Provo, UT (USA)",31 MAY 1989,0.5
20.39,Kevin LITTLE,03 APR 1968,USA,3,"Houston, TX (USA)",17 JUN 1989,1.0
20.39,Abdullah TETENGI,15 JUL 1969,NGR,1h2,Bauchi (NGR),03 JAN 1990,
20.39,Daron COUNCIL,26 DEC 1964,USA,3,"Norwalk, CA (USA)",16 JUN 1990,0.3
20.39,Robson DA SILVA,04 SEP 1964,BRA,1,Rio de Janeiro (BRA),02 SEP 1990,-1.4
20.39,Michael JOHNSON,13 SEP 1967,USA,1h1,"New York, NY (USA)",14 JUN 1991,-1.3
20.39,Dean CAPOBIANCO,11 MAY 1970,AUS,3,Roma (ITA),17 JUL 1991,0.2
20.39,Kevin LITTLE,03 APR 1968,USA,1,"Walnut, CA (USA)",18 APR 1992,0.8
20.39,John REGIS,13 OCT 1966,GBR,1,Dijon (FRA),13 JUN 1992,1.0
20.39,Michael BATES,19 DEC 1969,USA,2sf2,"Estadio Olímpico, Barcelona (ESP)",05 AUG 1992,-1.2
20.39,Olapade ADENIKEN,19 AUG 1969,NGR,3sf2,"Estadio Olímpico, Barcelona (ESP)",05 AUG 1992,-1.2
20.39,Michael BATES,19 DEC 1969,USA,2,Torino (ITA),04 SEP 1992,-0.1
20.39,Dean CAPOBIANCO,11 MAY 1970,AUS,1,"Walnut, CA (USA)",17 APR 1993,0.3
20.39,Michael JOHNSON,13 SEP 1967,USA,1,"Des Moines, IA (USA)",24 APR 1993,1.8
20.39,Robson DA SILVA,04 SEP 1964,BRA,1,Rio de Janeiro (BRA),27 JUN 1993,0.2
20.39,Linford CHRISTIE,02 APR 1960,GBR,1,Köln (GER),01 AUG 1993,-0.1
20.39,John REGIS,13 OCT 1966,GBR,2qf2,"Gottlieb-Daimler Stadion, Stuttgart (GER)",19 AUG 1993,0.6
20.39,Olapade ADENIKEN,19 AUG 1969,NGR,2,São Paulo (BRA),21 MAY 1994,0.3
20.39,Jean-Charles TROUABAL,20 MAY 1965,FRA,1,Noisy-le-Grand (FRA),02 JUL 1994,1.9
20.39,Oluyemi KAYODE,07 JUL 1968,NGR,1qf3,Victoria (CAN),24 AUG 1994,1.6
20.39,Riaan DEMPERS,04 MAR 1977,RSA,1,Krugersdorp (RSA),11 MAR 1995,-0.1
20.39,Pat JOHNSON,10 AUG 1976,USA,1h2,"Tucson, AZ (USA)",19 MAY 1995,-0.5
20.39,Tony WHEELER,19 JAN 1975,USA,1h4,"Knoxville, TN (USA)",31 MAY 1995,1.0
20.39,John REGIS,13 OCT 1966,GBR,4sf1,"Ullevi Stadium, Göteborg (SWE)",11 AUG 1995,0.3
20.39,Damien MARSH,28 MAR 1971,AUS,5sf1,"Ullevi Stadium, Göteborg (SWE)",11 AUG 1995,0.3
20.39,Damien MARSH,28 MAR 1971,AUS,4,"Stade Louis II, Monaco (MON)",09 SEP 1995,-0.3
20.39,John REGIS,13 OCT 1966,GBR,1,Pietersburg (RSA),03 APR 1996,1.1
20.39,Percival SPENCER,24 FEB 1975,JAM,1,"Odessa, TX (USA)",17 MAY 1996,0.6
20.39,Ivan GARCÍA,29 FEB 1972,CUB,1,La Habana (CUB),22 JUN 1996,-0.7
20.39,Tony WHEELER,19 JAN 1975,USA,4qf,"Atlanta, GA (USA)",22 JUN 1996,0.0
20.39,Kevin LITTLE,03 APR 1968,USA,8,"Atlanta, GA (USA)",23 JUN 1996,1.7
20.39,Michael MARSH,04 AUG 1967,USA,1qf4,"Olympic Stadium, Atlanta, GA (USA)",31 JUL 1996,0.3
20.39,Jeff WILLIAMS,31 DEC 1965,USA,3sf1,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,0.3
20.39,Nobuharu ASAHARA,21 JUN 1972,JPN,2f2,Stuttgart (GER),13 JUL 1997,0.9
20.39,Ivan GARCÍA,29 FEB 1972,CUB,2sf1,"Olympic Stadium, Athina (GRE)",07 AUG 1997,-0.5
20.39,Sebastian KEITEL,14 FEB 1973,CHI,1,Tel Aviv (ISR),19 JUL 1998,0.5
20.39,Julian GOLDING,17 FEB 1975,GBR,1h1,"Népstadion, Budapest (HUN)",20 AUG 1998,-1.2
20.39,Shawn CRAWFORD,14 JAN 1978,USA,1,"Clemson, SC (USA)",15 MAY 1999,0.7
20.39,Bobby CRUSE,20 MAR 1978,USA,1,Mt. Pleasant (USA),22 MAY 1999,2.0
20.39,Coby MILLER,19 OCT 1976,USA,h,"Boise, ID (USA)",02 JUN 1999,0.4
20.39,Tony MCCALL,16 JUN 1974,USA,5,"Stade de France, Paris-St-Denis (FRA)",21 JUL 1999,0.7
20.39,Tony MCCALL,16 JUN 1974,USA,1,Chania (GRE),28 JUL 1999,1.1
20.39,Kevin LITTLE,03 APR 1968,USA,4,"Stade Louis II, Monaco (MON)",04 AUG 1999,0.2
20.39,Francis OBIKWELU,22 NOV 1978,NGR,4,"Olympiastadion, Berlin (GER)",07 SEP 1999,-0.1
20.39,Claudinei Quirino DA SILVA,19 NOV 1970,BRA,1,Rio de Janeiro (BRA),14 MAY 2000,0.4
20.39,Coby MILLER,19 OCT 1976,USA,sf,"Sacramento, CA (USA)",23 JUL 2000,-0.7
20.39,Dennis MITCHELL,20 FEB 1966,USA,2,Linz (AUT),08 AUG 2000,0.5
20.39,Corné DU PLESSIS,20 MAR 1978,RSA,2,Pretoria (RSA),23 MAR 2001,0.4
20.39,Kevin BRAUNSKILL,31 MAR 1969,USA,1,"Athens, GA (USA)",05 MAY 2001,1.4
20.39,Shawn CRAWFORD,14 JAN 1978,USA,2,"Eugene, OR (USA)",27 MAY 2001,-1.3
20.39,Kim COLLINS,05 APR 1976,SKN,1,Rethymno (GRE),01 JUL 2001,0.2
20.39,Shingo SUETSUGU,02 JUN 1980,JPN,6sf2,"Commonwealth Stadium, Edmonton (CAN)",08 AUG 2001,0.7
20.39,Darvis PATTON,04 DEC 1977,USA,3,Rieti (ITA),02 SEP 2001,0.8
20.39,Francis OBIKWELU,22 NOV 1978,NGR,4,Rieti (ITA),02 SEP 2001,0.8
20.39,Bernard WILLIAMS,19 JAN 1978,USA,2,Melbourne (AUS),09 SEP 2001,1.0
20.39,Cláudio Roberto SOUZA,14 OCT 1973,BRA,1,Sâo Caetano do Sul (BRA),28 APR 2002,1.3
20.39,Christian MALCOLM,03 JUN 1979,GBR,8,Manchester (GBR),29 JUL 2002,1.4
20.39,Shawn CRAWFORD,14 JAN 1978,USA,2,Poznan (POL),29 JUN 2003,0.1
20.39,Marcin JĘDRUSIŃSKI,28 AUG 1981,POL,2,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUL 2003,0.7
20.39,Christian MALCOLM,03 JUN 1979,GBR,2,Birmingham (GBR),27 JUL 2003,2.0
20.39,Darren CAMPBELL,12 SEP 1973,GBR,4,"Stade de France, Paris-St-Denis (FRA)",29 AUG 2003,0.1
20.39,Milton MALLARD,24 NOV 1973,USA,1,"Walnut, CA (USA)",18 APR 2004,1.8
20.39,David NEVILLE,01 JUN 1984,USA,1,"West Lafayette, IN (USA)",16 MAY 2004,
20.39,Vicente LENILSON DE LIMA,04 JUN 1977,BRA,1,"Mangueirão, Belém (BRA)",23 MAY 2004,-1.0
20.39,Justin GATLIN,10 FEB 1982,USA,2,Bergen (NOR),11 JUN 2004,-1.1
20.39,Uchenna EMEDOLU,17 SEP 1976,NGR,1,Rethymno (GRE),23 JUN 2004,0.0
20.39,Coby MILLER,19 OCT 1976,USA,2h2,"Sacramento, CA (USA)",16 JUL 2004,-0.3
20.39,Tyson GAY,09 AUG 1982,USA,3,"Nashville, TN (USA)",15 MAY 2005,1.3
20.39,Christian MALCOLM,03 JUN 1979,GBR,4,"Crystal Palace, London (GBR)",22 JUL 2005,1.8
20.39,Churandy MARTINA,03 JUL 1984,AHO,2,Heusden-Zolder (BEL),23 JUL 2005,-0.3
20.39,Stéphan BUCKLAND,12 JAN 1977,MRI,3,Sheffield (GBR),21 AUG 2005,1.4
20.39,Phillip FRANCIS,26 APR 1983,USA,1,"Eugene, OR (USA)",14 MAY 2006,1.7
20.39,Jordan VADEN,15 SEP 1978,USA,1sf2,"Indianapolis, IN (USA)",25 JUN 2006,-0.7
20.39,Rodney MARTIN,22 DEC 1982,USA,3,"EIS Don Valley Stadium, Sheffield (GBR)",15 JUL 2007,1.2
20.39,Johan WISSMAN,02 NOV 1982,SWE,1,Sundsvall (SWE),24 JUL 2007,0.3
20.39,Churandy MARTINA,03 JUL 1984,AHO,3qf2,"Yanmar Stadium Nagai, Osaka (JPN)",28 AUG 2007,-0.3
20.39,Rodney MARTIN,22 DEC 1982,USA,4,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,0.7
20.39,Christopher WILLIAMS,15 MAR 1972,JAM,5,"Gottlieb-Daimler Stadion, Stuttgart (GER)",23 SEP 2007,1.3
20.39,Christopher WILLIAMS,15 MAR 1972,JAM,3,Shanghai (CHN),28 SEP 2007,-0.3
20.39,Joshua J. JOHNSON,10 MAY 1976,USA,3,Daegu (KOR),03 OCT 2007,0.1
20.39,Rodney MARTIN,22 DEC 1982,USA,3f1,Fort-de-France (FRA),08 MAY 2008,1.6
20.39,Trey HARTS,17 OCT 1987,USA,3,"Boulder, CO (USA)",18 MAY 2008,0.7
20.39,Brendan CHRISTIAN,11 DEC 1983,ANT,3,"Icahn Stadium, New York, NY (USA)",31 MAY 2008,0.6
20.39,Chris DYKES,15 AUG 1987,USA,1,"Lincoln, NE (USA)",31 MAY 2008,0.9
20.39,Brendan CHRISTIAN,11 DEC 1983,ANT,1,"Bislett Stadion, Oslo (NOR)",06 JUN 2008,0.4
20.39,Brian DZINGAI,29 APR 1981,ZIM,1,Villeneuve d'Ascq (FRA),27 JUN 2008,0.1
20.39,Wallace SPEARMON,24 DEC 1984,USA,2qf4,"National Stadium, Beijing (CHN)",18 AUG 2008,0.3
20.39,Greg NIXON,12 SEP 1981,USA,2f1,"Greensboro, NC (USA)",18 APR 2009,0.7
20.39,Charles CLARK,10 AUG 1987,USA,6,"Olympiastadion, Berlin (GER)",20 AUG 2009,-0.3
20.39,Angelo TAYLOR,29 DEC 1978,USA,1f1,"Auburn, AL (USA)",17 APR 2010,0.0
20.39,Christophe LEMAITRE,11 JUN 1990,FRA,1sf2,"Estadio Olímpico, Barcelona (ESP)",29 JUL 2010,0.8
20.39,Ben Youssef MEITÉ,11 NOV 1986,CIV,2,"Nyayo National Stadium, Nairobi (KEN)",01 AUG 2010,1.3
20.39,Yohan BLAKE,26 DEC 1989,JAM,1f1,Kingston (JAM),05 MAR 2011,1.0
20.39,Tran HOWELL,27 MAR 1988,USA,2,"Norman, OK (USA)",15 MAY 2011,0.0
20.39,Churandy MARTINA,03 JUL 1984,NED,3,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1.1
20.39,Maurice MITCHELL,22 DEC 1989,USA,1h2,"Des Moines, IA (USA)",09 JUN 2011,1.1
20.39,Sandro Ricardo RODRIGUES VIANA,26 MAR 1977,BRA,2sf1,Guadalajara (MEX),26 OCT 2011,0.2
20.39,Jeremy DODSON,30 AUG 1987,USA,1,"Walnut, CA (USA)",21 APR 2012,1.8
20.39,Usain BOLT,21 AUG 1986,JAM,1h1,"Olympic Stadium, London (GBR)",07 AUG 2012,0.9
20.39,Isiah YOUNG,05 JAN 1990,USA,1f1,"Oxford, MS (USA)",20 APR 2013,2.0
20.39,Calesio NEWMAN,20 AUG 1986,USA,1f1,"Greensboro, NC (USA)",12 MAY 2013,1.9
20.39,Bruno DE BARROS,07 JAN 1987,BRA,2,Uberlandia (BRA),16 MAY 2013,-0.4
20.39,Ameer WEBB,19 MAR 1991,USA,1f3,"Austin, TX (USA)",25 MAY 2013,0.3
20.39,Jason YOUNG,21 MAR 1991,JAM,1sf2,Kingston (JAM),22 JUN 2013,1.0
20.39,Wallace SPEARMON,24 DEC 1984,USA,1sf2,"Drake Stadium, Des Moines, IA (USA)",23 JUN 2013,-0.8
20.39,Edino STEELE,01 JUN 1987,JAM,1f1,"Stadion Orzeł, Warszawa (POL)",25 AUG 2013,1.3
20.39,Serhiy SMELYK,19 APR 1987,UKR,2,"Stadio Guidobaldi, Rieti (ITA)",08 SEP 2013,0.2
20.39,Wallace SPEARMON,24 DEC 1984,USA,2,"Austin, TX (USA)",29 MAR 2014,1.2
20.39,Renny QUOW,25 AUG 1987,TTO,1f1,"Lubbock, TX (USA)",03 MAY 2014,1.4
20.39,Shota IIZUKA,25 JUN 1991,JPN,1f1,Fukuroi (JPN),03 MAY 2014,0.8
20.39,Isaac MAKWALA,24 SEP 1985,BOT,1,Gaborone (BOT),04 MAY 2014,0.0
20.39,Trentavis FRIDAY,05 JUN 1995,USA,1h1,"Eugene, OR (USA)",06 JUL 2014,0.6
20.39,Adam GEMILI,06 OCT 1993,GBR,1h4,"Letzigrund, Zürich (SUI)",14 AUG 2014,-0.2
20.39,Anaso JOBODWANA,30 JUL 1992,RSA,f2,"Tempe, AZ (USA)",11 APR 2015,0.6
20.39,Julian FORTE,07 JAN 1993,JAM,4f1,"National Stadium, Kingston (JAM)",09 MAY 2015,0.7
20.39,Tevin HESTER,10 JAN 1994,USA,1h2,"Tallahassee, FL (USA)",15 MAY 2015,0.1
20.39,Cameron ECHOLS-LUPER,09 APR 1995,USA,1h1,"Ames, IA (USA)",16 MAY 2015,0.6
20.39,Bryshon NELLUM,01 MAY 1989,USA,3f1,"Norwalk, CA (USA)",06 JUN 2015,1.5
20.39,Anaso JOBODWANA,30 JUL 1992,RSA,2,"Bislett Stadion, Oslo (NOR)",11 JUN 2015,-1.2
20.39,Tyquendo TRACEY,10 JUN 1993,JAM,2sf1,Kingston (JAM),27 JUN 2015,1.6
20.39,Warren WEIR,31 OCT 1989,JAM,2,Kingston (JAM),28 JUN 2015,-2.6
20.39,Alonso EDWARD,08 DEC 1989,PAN,1h2,"CIBC, Toronto (CAN)",23 JUL 2015,1.6
20.39,Wilfried KOFFI HUA,12 OCT 1987,CIV,4h1,"National Stadium, Beijing (CHN)",25 AUG 2015,-0.3
20.39,Clarence MUNYAI,20 FEB 1998,RSA,1,Johannesburg (RSA),18 MAR 2016,1.4
20.39,Devin JENKINS,06 FEB 1994,USA,2f2,"Tempe, AZ (USA)",09 APR 2016,0.5
20.39,Christopher BELCHER,29 JAN 1994,USA,1,"Greensboro, NC (USA)",07 MAY 2016,1.2
20.39,Brendon RODNEY,09 APR 1992,CAN,3,"Eugene, OR (USA)",10 JUN 2016,-0.2
20.39,Daniel TALBOT,01 MAY 1991,GBR,1f1,Genève (SUI),11 JUN 2016,-1.8
20.39,Bruno HORTELANO-ROIG,18 SEP 1991,ESP,1sf3,"Olympisch Stadion, Amsterdam (NED)",08 JUL 2016,-1.1
20.39,Solomon BOCKARIE,18 MAY 1987,NED,2sf3,"Olympisch Stadion, Amsterdam (NED)",08 JUL 2016,-1.1
20.39,Shota IIZUKA,25 JUN 1991,JPN,5,"Stade Louis II, Monaco (MON)",15 JUL 2016,0.1
20.39,Julian REUS,29 APR 1988,GER,3h8,"Estádio Olímpico, Rio de Janeiro (BRA)",16 AUG 2016,0.4
20.39,Daniel TALBOT,01 MAY 1991,GBR,3,"Sports Park Mladost, Zagreb (CRO)",06 SEP 2016,1.3
20.39,Chijindu UJAH,05 MAR 1994,GBR,1f2,"Tempe, AZ (USA)",08 APR 2017,1.7
20.39,Bernardo BALOYES,06 JAN 1994,COL,1f1,Medellín (COL),29 APR 2017,0.9
20.39,Ameer WEBB,19 MAR 1991,USA,4,"Shanghai Stadium, Shanghai (CHN)",13 MAY 2017,-0.4
20.39,Maxwell WILLIS,02 SEP 1998,USA,1h4,"Austin, TX (USA)",26 MAY 2017,1.5
20.39,Jaylen BACON,05 AUG 1996,USA,3sf2,"Eugene, OR (USA)",07 JUN 2017,1.3
20.39,Kenroy ANDERSON,27 JUN 1987,JAM,2sf3,Kingston (JAM),24 JUN 2017,1.1
20.39,Warren WEIR,31 OCT 1989,JAM,3,Kingston (JAM),25 JUN 2017,1.0
20.39,Jonathan QUARCOO,13 OCT 1996,NOR,1sf1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",15 JUL 2017,0.9
20.39,Yohan BLAKE,26 DEC 1989,JAM,1h1,"Olympic Stadium, London (GBR)",07 AUG 2017,-0.5
20.39,Luxolo ADAMS,01 AUG 1996,RSA,1sf2,Pretoria (RSA),16 MAR 2018,1.7
20.39,Gavin SMELLIE,26 JUN 1986,CAN,1f2,"Clermont, FL (USA)",12 MAY 2018,1.1
20.39,Eric HARRISON JR.,18 FEB 1999,USA,1,"Bloomington, IN (USA)",13 MAY 2018,-0.3
20.39,Jahnoy THOMPSON,16 FEB 1996,JAM,3h5,"Tampa, FL (USA)",25 MAY 2018,1.3
20.39,Julius MORRIS,14 APR 1994,MNT,2h6,"Tampa, FL (USA)",25 MAY 2018,1.0
20.39,Akanni HISLOP,01 JUN 1998,TTO,2h6,"Tampa, FL (USA)",25 MAY 2018,1.0
20.39,Ge BIE,02 AUG 1992,CHN,1f1,"Pomona, CA (USA)",02 JUN 2018,0.3
20.39,Ameer WEBB,19 MAR 1991,USA,1h1,"Drake Stadium, Des Moines, IA (USA)",23 JUN 2018,0.3
20.39,Eseosa Fostine DESALU,19 FEB 1994,ITA,1h3,"Olympiastadion, Berlin (GER)",08 AUG 2018,0.2
20.39,Solomon BOCKARIE,18 MAY 1987,NED,8,"Olympiastadion, Berlin (GER)",09 AUG 2018,0.7
20.39,Jorge VIDES,24 NOV 1992,BRA,1h1,Trujillo (PER),25 AUG 2018,-0.2
20.39,Yoshihide KIRYU,15 DEC 1995,JPN,1f1,Brisbane (AUS),23 MAR 2019,1.5
20.39,Akani SIMBINE,21 SEP 1993,RSA,1f1,Potchefstroom (RSA),17 APR 2019,0.4
20.39,Andrew HUDSON,14 DEC 1996,USA,1,"Norman, OK (USA)",12 MAY 2019,-0.1
20.39,Rodney ROWE,17 MAR 1997,USA,1h1,"Jacksonville, FL (USA)",24 MAY 2019,1.2
20.39,Richard KILTY,02 SEP 1989,GBR,1f1,Lee Valley (GBR),31 JUL 2019,1.0
20.39,Shota IIZUKA,25 JUN 1991,JPN,2,Fukui (JPN),17 AUG 2019,0.8
20.39,Nethaneel MITCHELL-BLAKE,02 APR 1994,GBR,4,"Alexander Stadium, Birmingham (GBR)",25 AUG 2019,-1.2
20.39,Fahhad Mohammed ALSUBAIE,04 FEB 1994,KSA,1,Tashkent (UZB),25 AUG 2019,1.4
20.39,Serhiy SMELYK,19 APR 1987,UKR,1,Andújar (ESP),06 SEP 2019,0.2
20.39,Serhiy SMELYK,19 APR 1987,UKR,3h6,"Khalifa International Stadium, Doha (QAT)",29 SEP 2019,0.9
20.39,Kyle GREAUX,26 APR 1988,TTO,8,"Khalifa International Stadium, Doha (QAT)",01 OCT 2019,0.3
20.39,Eseosa Fostine DESALU,19 FEB 1994,ITA,1,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2020,0.1
20.39,Julian FORTE,07 JAN 1993,JAM,2,"Suhaim bin Hamad Stadium, Doha (QAT)",25 SEP 2020,0.9
20.39,Lance LANG,,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",16 APR 2021,0.2
20.39,Erriyon KNIGHTON,29 JAN 2004,USA,1f3,"Percy Beard Track, Gainesville, FL (USA)",16 APR 2021,0.5
20.39,Connor WASHINGTON,2003,USA,1,"Mike A. Myers Stadium, Austin, TX (USA)",08 MAY 2021,1.8
20.39,Lance LANG,,USA,2pr4,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",26 MAY 2021,1.5
20.39,Josephus LYLES,22 JUL 1998,USA,3h2,"Hayward Field, Eugene, OR (USA)",25 JUN 2021,-0.1
20.39,Jevaughn MINZIE,20 JUL 1995,JAM,4,"National Stadium, Kingston (JAM)",27 JUN 2021,0.5
20.39,Jereem RICHARDS,13 JAN 1994,TTO,8,"National Stadium, Tokyo (JPN)",04 AUG 2021,-0.5
20.39,Sinesipho DAMBILE,02 MAR 2002,RSA,5,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",18 SEP 2021,2.0
20.39,Xingqiang TANG,11 AUG 1995,CHN,1,Xi'an (CHN),22 SEP 2021,-0.1
20.39,Marcellus MOORE,30 JUN 2002,USA,1f1,"Mike A. Myers Stadium, Austin, TX (USA)",05 MAR 2022,1.6
20.39,Tarsis Gracious OROGOT,24 NOV 2002,UGA,3f1,"Percy Beard Track, Gainesville, FL (USA)",15 APR 2022,0.9
20.39,Evan MILLER,29 AUG 2000,USA,1h4,"Ole Miss T&F Complex, Oxford, MS (USA)",12 MAY 2022,-0.3
20.39,Joseph FAHNBULLEH,11 SEP 2001,LBR,1h5,"Ole Miss T&F Complex, Oxford, MS (USA)",12 MAY 2022,0.0
20.39,Micaiah HARRIS,19 DEC 1998,USA,1h2,"Terry & Linda Fuller T&F Complex, Lubbock, TX (USA)",14 MAY 2022,1.3
20.39,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,6sf2,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1.1
20.39,Benjamin RICHARDSON,19 DEC 2003,RSA,2sf1,"Pascual Guerrero Stadium, Cali (COL)",03 AUG 2022,-0.2
20.39,Ján VOLKO,02 NOV 1996,SVK,4sf3,"Olympiastadion, München (GER)",18 AUG 2022,-0.1
20.39,Jerome BLAKE,18 AUG 1995,CAN,6f1,"National Stadium, Gaborone (BOT)",29 APR 2023,-0.3
20.39,Cameron ROSE,2002,USA,1,"Paul Derr TF Facility, Raleigh, NC (USA)",13 MAY 2023,0.1
20.39,Joshua HARTMANN,09 JUN 1999,GER,6,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,0.6
20.4,Pietro MENNEA,28 JUN 1952,ITA,1f8,München (GER),23 AUG 1972,
20.4,Pietro MENNEA,28 JUN 1952,ITA,1,Torino (ITA),04 JUN 1977,0.0
20.4,Pietro MENNEA,28 JUN 1952,ITA,2,Fürth (GER),11 SEP 1977,0.3
20.4,Greg FOSTER,04 AUG 1958,USA,3,"Corvallis, OR (USA)",20 MAY 1978,0.9
20.4,Pietro MENNEA,28 JUN 1952,ITA,1sf1,"Stadion Evžena Rošického, Praha (TCH)",31 AUG 1978,-0.2
20.4,Mel LATTANY,10 AUG 1959,USA,1,"Athens, GA (USA)",05 MAY 1979,
20.4,James GILKES,21 SEP 1952,GUY,1,Les Abymes (FRA),06 MAY 1979,0.0
20.4,Don QUARRIE,25 FEB 1951,JAM,2f2,Roma (ITA),05 AUG 1980,0.0
20.4,Dwayne EVANS,13 OCT 1958,USA,3,"Palo Alto, CA (USA)",23 MAY 1981,-1.4
20.4,James BUTLER,21 JUN 1960,USA,1,Milano (ITA),07 JUL 1982,-1.5
20.4,Jeff PHILLIPS,16 MAY 1957,USA,1,Berlin (GER),20 AUG 1982,0.4
20.4,Pietro MENNEA,28 JUN 1952,ITA,1,Pisa (ITA),20 JUN 1984,
20.4,Thomas JEFFERSON,08 JUN 1962,USA,2sf1,"Memorial Coliseum, Los Angeles, CA (USA)",08 AUG 1984,-2.2
20.4,Stefano TILLI,22 AUG 1962,ITA,2,Cagliari (ITA),09 SEP 1984,0.5
20.4,Wallace SPEARMON,03 SEP 1962,USA,1,"Lafayette, LA (USA)",13 APR 1985,
20.4,Frank EMMELMANN,15 SEP 1961,GDR,1,Dresden (GER),03 AUG 1985,2.0
20.4,Wallace SPEARMON,03 SEP 1962,USA,1h1,"Eugene, OR (USA)",19 JUN 1986,1.4
20.4,Atlee MAHORN,27 OCT 1965,CAN,1,Ottawa (CAN),22 JUN 1986,1.0
20.4,Dwayne EVANS,13 OCT 1958,USA,2f2,"Modesto, CA (USA)",09 MAY 1987,1.7
20.4,Tim WILLIAMS,27 MAY 1963,USA,2,"Durham, NC (USA)",24 JUL 1987,1.4
20.4,Harvey MCSWAIN,10 MAR 1963,USA,3,London (GBR),02 AUG 1987,1.5
20.4,Stanley KERR,19 JUN 1967,USA,3,"Austin, TX (USA)",15 MAY 1988,0.2
