Mark,Competitor,DOB,Nat,Pos,Venue,Date
21:24.94,Kumiko OKADA,17 OCT 1991,JPN,1,Kitakami (JPN),10 OCT 2016
21:25.06,Hong LIU,12 MAY 1987,CHN,1,Torino (ITA),09 MAY 2015
21:25.11,Yang SHI,24 JAN 1983,CHN,2,Torino (ITA),09 MAY 2015
21:25.25,María PÉREZ,29 APR 1996,ESP,1,Cartagena (ESP),06 MAY 2017
21:25.62,Viktória MADARÁSZ,12 MAY 1985,HUN,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",11 SEP 2021
21:25.72,Beate ANDERS,04 FEB 1968,GER,1,München (GER),20 JUN 1992
21:26.05,Emilie MENUET,27 SEP 1991,FRA,2,Blois (FRA),17 JUN 2017
21:26.1h,Kong YAN,05 APR 1971,CHN,5,Hefei (CHN),03 MAR 1990
21:26.28,Ileana SALVADOR,16 JAN 1962,ITA,1,Grosseto (ITA),11 AUG 1991
21:26.33,Raquel GONZÁLEZ,16 NOV 1989,ESP,1,Zaragoza (ESP),13 JUN 2015
21:26.37,María PÉREZ,29 APR 1996,ESP,1,Andújar (ESP),24 APR 2021
21:26.45,Xiuzhi LYU,26 OCT 1993,CHN,,Torino (ITA),26 MAY 2018
21:26.5h,Ping GUAN,01 FEB 1966,CHN,1,Qingdao (CHN),17 OCT 1986
21:26.61,Yang SHI,24 JAN 1983,CHN,1,Genova (ITA),08 FEB 2015
21:26.93,Lidia SANCHEZ-PUEBLA,17 JUL 1996,ESP,1,Plasencia (ESP),27 JUN 2018
21:27.39,Rachel SEAMAN,14 JAN 1986,CAN,1,"Chula Vista, CA (USA)",13 JUN 2015
21:27.41,Rossella GIORDANO,01 DEC 1972,ITA,3,Tivoli (ITA),05 SEP 2002
21:27.7h,Lyudmila DEDEKINA,05 JAN 1979,RUS,1,Izhevsk (RUS),17 MAY 1998
21:27.8h,Jingxue LI,10 FEB 1970,CHN,6,Hefei (CHN),03 MAR 1990
21:27.9h,Caimei LIU,01 MAR 1971,CHN,7,Hefei (CHN),03 MAR 1990
21:28.16,Kumi OTOSHI,29 JUL 1985,JPN,2,Tendo (JPN),16 MAY 2009
21:28.17,Teresa VAILL,20 NOV 1962,USA,1,"Philadelphia, PA (USA)",24 APR 1993
21:28.57,Ailing XUE,12 FEB 1979,CHN,3,"Parc des Sports, Annecy (FRA)",01 AUG 1998
21:28.72,Raquel GONZÁLEZ,16 NOV 1989,ESP,1,Mataró (ESP),25 APR 2015
21:28.74,Rossella GIORDANO,01 DEC 1972,ITA,1,Torino (ITA),08 JUL 2006
21:28.84,Tamara HAVRYLYUK,14 DEC 1995,UKR,1,Kropyvnytskiy (UKR),25 JUN 2018
21:28.86,Beate ANDERS,04 FEB 1968,GDR,2,Padova (ITA),16 SEP 1990
21:28.92,Jess ROTHWELL,18 JUN 1989,AUS,2,Sydney (AUS),09 MAR 2013
21:29.12,Claire WOODS,06 JUL 1981,AUS,3f1,Sydney (AUS),18 FEB 2012
21:29.23,Katarzyna ZDZIEBŁO,28 NOV 1996,POL,1,"Stadion Lekkoatletyczny, Suwalki (POL)",10 JUN 2022
21:29.30,Yelena LASHMANOVA,09 APR 1992,RUS,1,Penza (RUS),02 AUG 2009
21:29.39,Hong LI,01 JUN 1979,CHN,2,Chengdu (CHN),06 SEP 2000
21:29.41,Laura GARCÍA-CARO,16 APR 1995,ESP,2,"Complex Esportiu L’Hospitalet Nord, L'Hospitalet (ESP)",10 JUL 2021
21:29.5h,Tatyana GUDKOVA,23 JAN 1978,RUS,2,"Adler, Sochi (RUS)",10 FEB 1996
21:29.64,Olena SOBCHUK,23 NOV 1995,UKR,2,"Avangard Stadium, Lutsk (UKR)",15 AUG 2020
21:29.8h,Fenglian NI,13 NOV 1970,CHN,4,Anshan (CHN),02 SEP 1989
